iter	Passed	Remaining
999	12121	109093
1000	12134	109090
1001	12147	109089
1002	12160	109079
1003	12172	109066
1004	12183	109044
1005	12193	109014
1006	12203	108985
1007	12210	108921
1008	12220	108894
1009	12230	108867
1010	12241	108842
1011	12251	108812
1012	12262	108786
1013	12273	108766
1014	12284	108741
1015	12294	108716
1016	12305	108688
1017	12315	108664
1018	12325	108631
1019	12336	108606
1020	12349	108601
1021	12362	108602
1022	12368	108533
1023	12378	108508
1024	12388	108479
1025	12400	108460
1026	12406	108392
1027	12415	108358
1028	12425	108328
1029	12435	108298
1030	12445	108268
1031	12458	108266
1032	12469	108245
1033	12480	108222
1034	12490	108192
1035	12500	108164
1036	12511	108135
1037	12521	108113
1038	12532	108087
1039	12538	108021
1040	12548	107994
1041	12559	107975
1042	12572	107972
1043	12585	107966
1044	12596	107943
1045	12606	107918
1046	12618	107901
1047	12628	107873
1048	12641	107871
1049	12654	107860
1050	12664	107832
1051	12674	107806
1052	12686	107789
1053	12691	107722
1054	12702	107696
1055	12712	107670
1056	12723	107647
1057	12734	107629
1058	12745	107605
1059	12756	107589
1060	12770	107592
1061	12783	107586
1062	12793	107559
1063	12804	107540
1064	12814	107511
1065	12825	107485
1066	12836	107467
1067	12846	107435
1068	12856	107408
1069	12867	107386
1070	12877	107362
1071	12887	107330
1072	12898	107309
1073	12908	107284
1074	12918	107255
1075	12924	107189
1076	12934	107162
1077	12945	107142
1078	12956	107126
1079	12970	107123
1080	12983	107119
1081	12994	107101
1082	13005	107080
1083	13015	107056
1084	13027	107042
1085	13039	107027
1086	13050	107011
1087	13061	106988
1088	13071	106961
1089	13077	106896
1090	13087	106871
1091	13097	106846
1092	13108	106819
1093	13118	106793
1094	13128	106767
1095	13138	106742
1096	13149	106721
1097	13162	106718
1098	13171	106675
1099	13184	106676
1100	13194	106645
1101	13205	106630
1102	13216	106604
1103	13226	106575
1104	13236	106554
1105	13246	106524
1106	13256	106494
1107	13266	106470
1108	13275	106435
1109	13285	106407
1110	13296	106381
1111	13305	106349
1112	13315	106319
1113	13326	106297
1114	13336	106270
1115	13346	106247
1116	13357	106225
1117	13367	106196
1118	13379	106189
1119	13394	106198
1120	13405	106180
